Source,Target,Type,Id,Label,timeset,Weight
Ludewig 2000,INDIAN JOURNAL OF ORTHOPAEDICS,Directed,134,,,2
Ludewig 2000,JOURNAL OF OCCUPATIONAL HEALTH,Directed,135,,,2
Ludewig 2000,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,Directed,136,,,57
Ludewig 2000,INTERNATIONAL JOURNAL OF SPORTS PHYSICAL THERAPY,Directed,137,,,10
Ludewig 2000,HEALTHCARE,Directed,138,,,2
Ludewig 2000,ACTA ORTHOPAEDICA,Directed,139,,,1
Ludewig 2000,GAIT & POSTURE,Directed,140,,,6
Ludewig 2000,ANATOMICAL SCIENCE INTERNATIONAL,Directed,141,,,1
Ludewig 2000,ARCHIVES OF REHABILITATION,Directed,142,,,1
Ludewig 2000,CLINICAL REHABILITATION,Directed,143,,,2
Ludewig 2000,IRANIAN JOURNAL OF PUBLIC HEALTH,Directed,144,,,1
Ludewig 2000,CLINICS IN ORTHOPEDIC SURGERY,Directed,145,,,1
Ludewig 2000,TURKIYE FIZIKSEL TIP VE REHABILITASYON DERGISI-TURKISH JOURNAL OF PHYSICAL MEDICINE AND REHABILITATION,Directed,146,,,1
Ludewig 2000,INTERNATIONAL JOURNAL OF ATHLETIC THERAPY & TRAINING,Directed,147,,,3
Ludewig 2000,BMC MUSCULOSKELETAL DISORDERS,Directed,148,,,15
Ludewig 2000,ZHURNAL VYSSHEI NERVNOI DEYATELNOSTI IMENI I P PAVLOVA,Directed,149,,,1
Ludewig 2000,MANUAL THERAPY,Directed,150,,,33
Ludewig 2000,BMJ-BRITISH MEDICAL JOURNAL,Directed,151,,,1
Ludewig 2000,PHYSIOTHERAPY THEORY AND PRACTICE,Directed,152,,,10
Ludewig 2000,MEDICINA-LITHUANIA,Directed,153,,,2
Ludewig 2000,JOURNAL OF THE PAKISTAN MEDICAL ASSOCIATION,Directed,154,,,1
Ludewig 2000,DISABILITY AND REHABILITATION,Directed,155,,,4
Ludewig 2000,CURRENT SPORTS MEDICINE REPORTS,Directed,156,,,1
Ludewig 2000,PHYSICIAN AND SPORTSMEDICINE,Directed,157,,,1
Ludewig 2000,CLINICAL NEUROPHYSIOLOGY,Directed,158,,,2
Ludewig 2000,CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,Directed,159,,,4
Ludewig 2000,PHYSICAL THERAPY,Directed,160,,,16
Ludewig 2000,COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING-IMAGING AND VISUALIZATION,Directed,161,,,1
Ludewig 2000,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART H-JOURNAL OF ENGINEERING IN MEDICINE,Directed,162,,,2
Ludewig 2000,ISOKINETICS AND EXERCISE SCIENCE,Directed,163,,,5
Ludewig 2000,CLINICAL MEDICINE INSIGHTS-ARTHRITIS AND MUSCULOSKELETAL DISORDERS,Directed,164,,,1
Ludewig 2000,JOURNAL OF SPORTS SCIENCES,Directed,165,,,4
Ludewig 2000,CELL BIOCHEMISTRY AND BIOPHYSICS,Directed,166,,,1
Ludewig 2000,SPORTS HEALTH-A MULTIDISCIPLINARY APPROACH,Directed,167,,,1
Ludewig 2000,JOURNAL OF STRENGTH AND CONDITIONING RESEARCH,Directed,168,,,6
Ludewig 2000,MEDICAL HYPOTHESES,Directed,169,,,1
Ludewig 2000,JOURNAL OF THE AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS,Directed,170,,,2
Ludewig 2000,BIOMEDICAL HUMAN KINETICS,Directed,171,,,1
Ludewig 2000,JOVE-JOURNAL OF VISUALIZED EXPERIMENTS,Directed,172,,,1
Ludewig 2000,PEERJ,Directed,173,,,1
Ludewig 2000,JOURNAL OF MOTOR BEHAVIOR,Directed,174,,,1
Ludewig 2000,PLOS ONE,Directed,175,,,8
Ludewig 2000,BIOSCIENCE RESEARCH,Directed,176,,,1
Ludewig 2000,JOURNAL OF HUMAN KINETICS,Directed,177,,,1
Ludewig 2000,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,Directed,178,,,16
Ludewig 2000,MEDICINE,Directed,179,,,4
Ludewig 2000,JCPSP-JOURNAL OF THE COLLEGE OF PHYSICIANS AND SURGEONS PAKISTAN,Directed,180,,,1
Ludewig 2000,CLINICAL JOURNAL OF SPORT MEDICINE,Directed,181,,,4
Ludewig 2000,JOURNAL OF SPORTS TRAUMATOLOGY AND RELATED RESEARCH,Directed,182,,,1
Ludewig 2000,CLINICS IN SPORTS MEDICINE,Directed,183,,,2
Ludewig 2000,MEDICAL ENGINEERING & PHYSICS,Directed,184,,,1
Ludewig 2000,ADVANCES IN INTEGRATIVE MEDICINE,Directed,185,,,1
Ludewig 2000,JOURNAL OF SCIENCE AND MEDICINE IN SPORT,Directed,186,,,3
